frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,quat_s,quat_v1,quat_v2,quat_v3,sclk,sol
SITE,1,-1,-1,0.000,0.000,0.000,-272039.268,8146811.223,-4.589466996,-4.643738049,137.441632997,-4501.000,2101.07,23092.89,526.19,5773.73,0.000,-0.000,0.000,1.000000000,0.000000000,0.000000000,0.000000000,0,-1
ROVER,1,0,0,0.000,0.000,0.000,-272039.268,8146811.223,-4.589466996,-4.643738049,137.441632997,-4501.000,2101.07,23092.89,526.19,5773.73,-2.414,-3.612,112.722,0.554112319,0.014571694,-0.034982380,0.831578882,397502188,0
ROVER,1,2,-1,0.000,0.000,0.000,-272039.268,8146811.223,-4.589466996,-4.643738049,137.441632997,-4501.000,2101.07,23092.89,526.19,5773.73,0.000,-0.000,0.000,1.000000000,0.000000000,0.000000000,0.000000000,397504952,0
ROVER,1,4,-1,0.000,0.000,0.000,-272039.268,8146811.223,-4.589466996,-4.643738049,137.441632997,-4501.000,2101.07,23092.89,526.19,5773.73,-2.414,-3.612,112.722,0.554112319,0.014571694,-0.034982380,0.831578882,397504957,0
ROVER,1,6,-1,0.000,0.000,0.000,-272039.268,8146811.223,-4.589466996,-4.643738049,137.441632997,-4501.000,2101.07,23092.89,526.19,5773.73,-2.414,-3.612,112.722,0.554112319,0.014571694,-0.034982380,0.831578882,397505419,0
ROVER,1,8,-1,0.000,0.000,0.000,-272039.268,8146811.223,-4.589466996,-4.643738049,137.441632997,-4501.000,2101.07,23092.89,526.19,5773.73,-2.422,-3.618,111.519,0.562814800,0.014201742,-0.035222400,0.825710100,397505425,0
SITE,2,-1,-1,0.000,0.000,0.000,-272039.268,8146811.223,-4.589466996,-4.643738049,137.441632997,-4501.000,2101.07,23092.89,526.19,5773.73,0.000,-0.000,0.000,1.000000000,0.000000000,0.000000000,0.000000000,0,-1
SITE,3,-1,-1,0.000,0.000,0.000,-272039.268,8146811.223,-4.589466996,-4.643738049,137.441632997,-4501.000,2101.07,23092.89,526.19,5773.73,0.000,-0.000,0.000,1.000000000,0.000000000,0.000000000,0.000000000,398648718,13
ROVER,3,0,-1,0.000,0.000,0.000,-272039.268,8146811.223,-4.589466996,-4.643738049,137.441632997,-4501.000,2101.07,23092.89,526.19,5773.73,-2.422,-3.618,111.519,0.562814800,0.014201742,-0.035222400,0.825710100,397937710,5
ROVER,3,2,-1,0.000,0.000,0.000,-272039.268,8146811.223,-4.589466996,-4.643738049,137.441632997,-4501.000,2101.07,23092.89,526.19,5773.73,-2.422,-3.618,111.519,0.562814800,0.014201742,-0.035222400,0.825710100,398554320,12
